"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",299474,36.3,21.2,87,13,6554,34,73.2,44950,11.4,1.15,12485,74,307000,1998.4,122486,1.2,14.3,7.37,7.68,7.28,3.47
"2",318253,34.9,17.3,90.6,9.4,10453,46,78.8,66220,21.4,0.59,17445,75,532500,1162.6,89513,0.7,14.3,7.37,7.63,7.37,3.59
"3",3494269,34.5,18.3,91,9,169187,69,72.3,56890,14.4,1.4,265230,69,465000,19229.8,725356,0.5,19.9,7.25,7.51,7.21,3.44
"4",274803,34.9,19.5,90.7,9.3,17549,93,71.3,45860,17.8,0.48,11875,71,405000,891.6,61515,0.6,19.5,7.24,7.5,7.19,3.18
"5",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"6",275868,34.9,21.8,89.4,10.6,7184,40,72.1,44370,27.3,0.52,8975,71,317000,1004.5,78185,0.8,19.4,7.2,7.55,7.2,3.4
"7",239862,37.6,15.3,87.9,12.1,13380,79,65.6,80760,13.4,4.33,53160,64,875000,3048.4,48810,0.5,18.2,7.25,7.45,7.13,3.43
"8",228397,34.7,16,91.1,8.9,9435,57,72.6,54950,14.5,1.39,18710,69,530000,1052.1,38629,0.4,26.4,7.17,7.42,7.06,3.7
"9",337378,31.9,21.9,93.1,6.9,26478,116,66.2,34260,23.1,0.49,9645,68,250000,1441.6,61092,0.6,17.6,7.12,7.43,7.18,3.37
"10",274139,34.9,21.8,89.8,10.2,17257,95,73.1,39460,23,0.46,9875,71,320000,850.5,76217,0.8,18.1,7.19,7.5,7.12,3.14
"11",196602,38.7,20.5,85.3,14.7,2536,20,79.6,76610,11.2,0.77,13650,76,535000,880.9,84918,1.1,6.1,7.54,7.75,7.33,3.2
"12",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
