"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
"2",326560,40.1,15.8,88.4,11.6,2778,14,75.3,55140,13.9,0.64,14825,77,335000,1334.7,153908,1.2,12.1,7.54,7.86,7.44,3.26
"3",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"4",8548,42.9,27.2,90.6,9.4,892,151,64.6,99390,3.4,84.6,19250,63,765000,1417.5,1692,0.4,9.1,6.59,7.08,5.99,5.57
"5",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"6",275868,34.9,21.8,89.4,10.6,7184,40,72.1,44370,27.3,0.52,8975,71,317000,1004.5,78185,0.8,19.4,7.2,7.55,7.2,3.4
"7",274803,34.9,19.5,90.7,9.3,17549,93,71.3,45860,17.8,0.48,11875,71,405000,891.6,61515,0.6,19.5,7.24,7.5,7.19,3.18
"8",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"9",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"10",205773,32.9,21,86.1,13.9,7727,62,65.8,34080,21.1,0.47,5690,73,215000,783.2,56966,0.8,22.5,7.14,7.6,7.05,3.05
"11",348533,36.1,21.2,88.3,11.7,15143,66,72.7,45690,13.6,0.7,17475,74,388000,1567.3,112845,0.9,15,7.29,7.57,7.26,3.57
"12",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
