"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"2",385108,37.2,21,83.3,16.7,14412,59,68.5,54530,18.7,0.69,24555,70,4e+05,1552.7,144717,1.1,10.8,7.48,7.76,7.37,2.75
"3",8750753,35.9,20.2,88.5,11.5,334419,57,72.9,51770,15.3,0.97,500825,71,365000,41159.7,2664414,0.8,16.6,7.3,7.57,7.24,3.29
"4",54316618,39.6,18.8,32.2,17.7,749198,22,73.9,30763,16.8,0.83,2235345,74,198000,361360.1,25696833,1.1,16.2,7.45,7.7,7.33,3.03
"5",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"6",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"7",274139,34.9,21.8,89.8,10.2,17257,95,73.1,39460,23,0.46,9875,71,320000,850.5,76217,0.8,18.1,7.19,7.5,7.12,3.14
"8",310642,34.2,18.1,92.1,7.9,12955,58,74.2,48000,18.8,1.29,15860,71,420000,1454.5,60438,0.5,22.1,7.47,7.67,7.31,3.42
"9",228397,34.7,16,91.1,8.9,9435,57,72.6,54950,14.5,1.39,18710,69,530000,1052.1,38629,0.4,26.4,7.17,7.42,7.06,3.7
"10",299474,36.3,21.2,87,13,6554,34,73.2,44950,11.4,1.15,12485,74,307000,1998.4,122486,1.2,14.3,7.37,7.68,7.28,3.47
"11",243303,38.9,20.8,89,11,2108,14,75.1,44430,15.9,0.54,8430,75,250000,1060.9,108507,1.2,15.4,7.38,7.7,7.21,3.29
"12",64596752,39.8,19,32.2,17.6,820603,20,73.5,39430,17.6,0.82,2550890,74,195000,445928.8,30333100,1.1,16.4,7.46,7.7,7.33,3.03
