"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"2",348533,36.1,21.2,88.3,11.7,15143,66,72.7,45690,13.6,0.7,17475,74,388000,1567.3,112845,0.9,15,7.29,7.57,7.26,3.57
"3",228397,34.7,16,91.1,8.9,9435,57,72.6,54950,14.5,1.39,18710,69,530000,1052.1,38629,0.4,26.4,7.17,7.42,7.06,3.7
"4",251611,40.3,19.5,81.5,18.5,2459,16,76.5,44430,20.7,0.6,9445,77,250000,1161.2,117634,1.2,15.3,7.39,7.65,7.21,3.28
"5",239862,37.6,15.3,87.9,12.1,13380,79,65.6,80760,13.4,4.33,53160,64,875000,3048.4,48810,0.5,18.2,7.25,7.45,7.13,3.43
"6",337378,31.9,21.9,93.1,6.9,26478,116,66.2,34260,23.1,0.49,9645,68,250000,1441.6,61092,0.6,17.6,7.12,7.43,7.18,3.37
"7",5256484,36.8,21.4,86.8,13.2,165223,49,73.3,48530,16.8,0.65,235595,73,318000,21929.8,1939058,1,14.7,7.32,7.61,7.27,3.19
"8",3494269,34.5,18.3,91,9,169187,69,72.3,56890,14.4,1.4,265230,69,465000,19229.8,725356,0.5,19.9,7.25,7.51,7.21,3.44
"9",8548,42.9,27.2,90.6,9.4,892,151,64.6,99390,3.4,84.6,19250,63,765000,1417.5,1692,0.4,9.1,6.59,7.08,5.99,5.57
"10",173853,37,19,87,13,3157,28,74.4,56920,17.1,0.73,8520,79,385000,752.4,70421,1.1,8.9,7.34,7.68,7.41,3.29
"11",385108,37.2,21,83.3,16.7,14412,59,68.5,54530,18.7,0.69,24555,70,4e+05,1552.7,144717,1.1,10.8,7.48,7.76,7.37,2.75
"12",275868,34.9,21.8,89.4,10.6,7184,40,72.1,44370,27.3,0.52,8975,71,317000,1004.5,78185,0.8,19.4,7.2,7.55,7.2,3.4
