"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
"2",228397,34.7,16,91.1,8.9,9435,57,72.6,54950,14.5,1.39,18710,69,530000,1052.1,38629,0.4,26.4,7.17,7.42,7.06,3.7
"3",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"4",299817,34.9,20.6,90.7,9.3,8482,42,75.9,43360,24.8,0.44,9625,75,315000,930.3,76507,0.7,20.8,7.18,7.63,7.26,3.43
"5",3494269,34.5,18.3,91,9,169187,69,72.3,56890,14.4,1.4,265230,69,465000,19229.8,725356,0.5,19.9,7.25,7.51,7.21,3.44
"6",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"7",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
"8",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"9",325455,34.4,17.5,92.2,7.8,12764,54,78.5,48610,23.1,0.78,20900,68,420000,1257.3,66791,0.5,21.5,7.14,7.46,7.2,3.53
"10",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"11",348533,36.1,21.2,88.3,11.7,15143,66,72.7,45690,13.6,0.7,17475,74,388000,1567.3,112845,0.9,15,7.29,7.57,7.26,3.57
"12",158447,39.1,15.9,85.6,14.4,7676,70,68.2,116350,14.7,1.32,13635,69,1195000,1236,44536,0.6,12,7.61,7.8,7.56,3.1
