"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"2",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"3",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"4",337378,31.9,21.9,93.1,6.9,26478,116,66.2,34260,23.1,0.49,9645,68,250000,1441.6,61092,0.6,17.6,7.12,7.43,7.18,3.37
"5",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"6",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"7",251611,40.3,19.5,81.5,18.5,2459,16,76.5,44430,20.7,0.6,9445,77,250000,1161.2,117634,1.2,15.3,7.39,7.65,7.21,3.28
"8",243303,38.9,20.8,89,11,2108,14,75.1,44430,15.9,0.54,8430,75,250000,1060.9,108507,1.2,15.4,7.38,7.7,7.21,3.29
"9",8548,42.9,27.2,90.6,9.4,892,151,64.6,99390,3.4,84.6,19250,63,765000,1417.5,1692,0.4,9.1,6.59,7.08,5.99,5.57
"10",5256484,36.8,21.4,86.8,13.2,165223,49,73.3,48530,16.8,0.65,235595,73,318000,21929.8,1939058,1,14.7,7.32,7.61,7.27,3.19
"11",385108,37.2,21,83.3,16.7,14412,59,68.5,54530,18.7,0.69,24555,70,4e+05,1552.7,144717,1.1,10.8,7.48,7.76,7.37,2.75
"12",348533,36.1,21.2,88.3,11.7,15143,66,72.7,45690,13.6,0.7,17475,74,388000,1567.3,112845,0.9,15,7.29,7.57,7.26,3.57
