"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",54316618,39.6,18.8,32.2,17.7,749198,22,73.9,30763,16.8,0.83,2235345,74,198000,361360.1,25696833,1.1,16.2,7.45,7.7,7.33,3.03
"2",8548,42.9,27.2,90.6,9.4,892,151,64.6,99390,3.4,84.6,19250,63,765000,1417.5,1692,0.4,9.1,6.59,7.08,5.99,5.57
"3",337378,31.9,21.9,93.1,6.9,26478,116,66.2,34260,23.1,0.49,9645,68,250000,1441.6,61092,0.6,17.6,7.12,7.43,7.18,3.37
"4",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
"5",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"6",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"7",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"8",243303,38.9,20.8,89,11,2108,14,75.1,44430,15.9,0.54,8430,75,250000,1060.9,108507,1.2,15.4,7.38,7.7,7.21,3.29
"9",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
"10",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"11",274803,34.9,19.5,90.7,9.3,17549,93,71.3,45860,17.8,0.48,11875,71,405000,891.6,61515,0.6,19.5,7.24,7.5,7.19,3.18
"12",158447,39.1,15.9,85.6,14.4,7676,70,68.2,116350,14.7,1.32,13635,69,1195000,1236,44536,0.6,12,7.61,7.8,7.56,3.1
