"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
"2",183354,35.6,17,89.9,10.1,10114,78,77.5,62910,16.4,1.16,13465,69,661000,971.3,43843,0.5,17.8,7.41,7.53,7.16,3.09
"3",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"4",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
"5",8750753,35.9,20.2,88.5,11.5,334419,57,72.9,51770,15.3,0.97,500825,71,365000,41159.7,2664414,0.8,16.6,7.3,7.57,7.24,3.29
"6",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"7",243303,38.9,20.8,89,11,2108,14,75.1,44430,15.9,0.54,8430,75,250000,1060.9,108507,1.2,15.4,7.38,7.7,7.21,3.29
"8",251611,40.3,19.5,81.5,18.5,2459,16,76.5,44430,20.7,0.6,9445,77,250000,1161.2,117634,1.2,15.3,7.39,7.65,7.21,3.28
"9",299474,36.3,21.2,87,13,6554,34,73.2,44950,11.4,1.15,12485,74,307000,1998.4,122486,1.2,14.3,7.37,7.68,7.28,3.47
"10",385108,37.2,21,83.3,16.7,14412,59,68.5,54530,18.7,0.69,24555,70,4e+05,1552.7,144717,1.1,10.8,7.48,7.76,7.37,2.75
"11",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"12",274139,34.9,21.8,89.8,10.2,17257,95,73.1,39460,23,0.46,9875,71,320000,850.5,76217,0.8,18.1,7.19,7.5,7.12,3.14
