"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",275868,34.9,21.8,89.4,10.6,7184,40,72.1,44370,27.3,0.52,8975,71,317000,1004.5,78185,0.8,19.4,7.2,7.55,7.2,3.4
"2",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"3",196602,38.7,20.5,85.3,14.7,2536,20,79.6,76610,11.2,0.77,13650,76,535000,880.9,84918,1.1,6.1,7.54,7.75,7.33,3.2
"4",348533,36.1,21.2,88.3,11.7,15143,66,72.7,45690,13.6,0.7,17475,74,388000,1567.3,112845,0.9,15,7.29,7.57,7.26,3.57
"5",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
"6",239862,37.6,15.3,87.9,12.1,13380,79,65.6,80760,13.4,4.33,53160,64,875000,3048.4,48810,0.5,18.2,7.25,7.45,7.13,3.43
"7",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"8",274803,34.9,19.5,90.7,9.3,17549,93,71.3,45860,17.8,0.48,11875,71,405000,891.6,61515,0.6,19.5,7.24,7.5,7.19,3.18
"9",64596752,39.8,19,32.2,17.6,820603,20,73.5,39430,17.6,0.82,2550890,74,195000,445928.8,30333100,1.1,16.4,7.46,7.7,7.33,3.03
"10",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"11",158447,39.1,15.9,85.6,14.4,7676,70,68.2,116350,14.7,1.32,13635,69,1195000,1236,44536,0.6,12,7.61,7.8,7.56,3.1
"12",205773,32.9,21,86.1,13.9,7727,62,65.8,34080,21.1,0.47,5690,73,215000,783.2,56966,0.8,22.5,7.14,7.6,7.05,3.05
