"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",326560,40.1,15.8,88.4,11.6,2778,14,75.3,55140,13.9,0.64,14825,77,335000,1334.7,153908,1.2,12.1,7.54,7.86,7.44,3.26
"2",275868,34.9,21.8,89.4,10.6,7184,40,72.1,44370,27.3,0.52,8975,71,317000,1004.5,78185,0.8,19.4,7.2,7.55,7.2,3.4
"3",158447,39.1,15.9,85.6,14.4,7676,70,68.2,116350,14.7,1.32,13635,69,1195000,1236,44536,0.6,12,7.61,7.8,7.56,3.1
"4",348533,36.1,21.2,88.3,11.7,15143,66,72.7,45690,13.6,0.7,17475,74,388000,1567.3,112845,0.9,15,7.29,7.57,7.26,3.57
"5",239862,37.6,15.3,87.9,12.1,13380,79,65.6,80760,13.4,4.33,53160,64,875000,3048.4,48810,0.5,18.2,7.25,7.45,7.13,3.43
"6",196602,38.7,20.5,85.3,14.7,2536,20,79.6,76610,11.2,0.77,13650,76,535000,880.9,84918,1.1,6.1,7.54,7.75,7.33,3.2
"7",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
"8",299474,36.3,21.2,87,13,6554,34,73.2,44950,11.4,1.15,12485,74,307000,1998.4,122486,1.2,14.3,7.37,7.68,7.28,3.47
"9",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"10",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"11",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"12",8750753,35.9,20.2,88.5,11.5,334419,57,72.9,51770,15.3,0.97,500825,71,365000,41159.7,2664414,0.8,16.6,7.3,7.57,7.24,3.29
