"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",310642,34.2,18.1,92.1,7.9,12955,58,74.2,48000,18.8,1.29,15860,71,420000,1454.5,60438,0.5,22.1,7.47,7.67,7.31,3.42
"2",274139,34.9,21.8,89.8,10.2,17257,95,73.1,39460,23,0.46,9875,71,320000,850.5,76217,0.8,18.1,7.19,7.5,7.12,3.14
"3",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"4",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"5",325455,34.4,17.5,92.2,7.8,12764,54,78.5,48610,23.1,0.78,20900,68,420000,1257.3,66791,0.5,21.5,7.14,7.46,7.2,3.53
"6",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"7",326560,40.1,15.8,88.4,11.6,2778,14,75.3,55140,13.9,0.64,14825,77,335000,1334.7,153908,1.2,12.1,7.54,7.86,7.44,3.26
"8",183354,35.6,17,89.9,10.1,10114,78,77.5,62910,16.4,1.16,13465,69,661000,971.3,43843,0.5,17.8,7.41,7.53,7.16,3.09
"9",228397,34.7,16,91.1,8.9,9435,57,72.6,54950,14.5,1.39,18710,69,530000,1052.1,38629,0.4,26.4,7.17,7.42,7.06,3.7
"10",274803,34.9,19.5,90.7,9.3,17549,93,71.3,45860,17.8,0.48,11875,71,405000,891.6,61515,0.6,19.5,7.24,7.5,7.19,3.18
"11",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"12",275868,34.9,21.8,89.4,10.6,7184,40,72.1,44370,27.3,0.52,8975,71,317000,1004.5,78185,0.8,19.4,7.2,7.55,7.2,3.4
