"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"2",196602,38.7,20.5,85.3,14.7,2536,20,79.6,76610,11.2,0.77,13650,76,535000,880.9,84918,1.1,6.1,7.54,7.75,7.33,3.2
"3",205773,32.9,21,86.1,13.9,7727,62,65.8,34080,21.1,0.47,5690,73,215000,783.2,56966,0.8,22.5,7.14,7.6,7.05,3.05
"4",297805,31.3,19.6,94.3,5.7,18882,90,70.4,45720,16.1,1.34,16545,69,383000,1948.3,43589,0.4,25.2,7.22,7.39,7.2,3.26
"5",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"6",3494269,34.5,18.3,91,9,169187,69,72.3,56890,14.4,1.4,265230,69,465000,19229.8,725356,0.5,19.9,7.25,7.51,7.21,3.44
"7",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"8",299817,34.9,20.6,90.7,9.3,8482,42,75.9,43360,24.8,0.44,9625,75,315000,930.3,76507,0.7,20.8,7.18,7.63,7.26,3.43
"9",183354,35.6,17,89.9,10.1,10114,78,77.5,62910,16.4,1.16,13465,69,661000,971.3,43843,0.5,17.8,7.41,7.53,7.16,3.09
"10",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"11",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"12",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
