"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",5256484,36.8,21.4,86.8,13.2,165223,49,73.3,48530,16.8,0.65,235595,73,318000,21929.8,1939058,1,14.7,7.32,7.61,7.27,3.19
"2",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"3",318253,34.9,17.3,90.6,9.4,10453,46,78.8,66220,21.4,0.59,17445,75,532500,1162.6,89513,0.7,14.3,7.37,7.63,7.37,3.59
"4",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"5",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
"6",326560,40.1,15.8,88.4,11.6,2778,14,75.3,55140,13.9,0.64,14825,77,335000,1334.7,153908,1.2,12.1,7.54,7.86,7.44,3.26
"7",325455,34.4,17.5,92.2,7.8,12764,54,78.5,48610,23.1,0.78,20900,68,420000,1257.3,66791,0.5,21.5,7.14,7.46,7.2,3.53
"8",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"9",205773,32.9,21,86.1,13.9,7727,62,65.8,34080,21.1,0.47,5690,73,215000,783.2,56966,0.8,22.5,7.14,7.6,7.05,3.05
"10",196602,38.7,20.5,85.3,14.7,2536,20,79.6,76610,11.2,0.77,13650,76,535000,880.9,84918,1.1,6.1,7.54,7.75,7.33,3.2
"11",239862,37.6,15.3,87.9,12.1,13380,79,65.6,80760,13.4,4.33,53160,64,875000,3048.4,48810,0.5,18.2,7.25,7.45,7.13,3.43
"12",183354,35.6,17,89.9,10.1,10114,78,77.5,62910,16.4,1.16,13465,69,661000,971.3,43843,0.5,17.8,7.41,7.53,7.16,3.09
