"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",228397,34.7,16,91.1,8.9,9435,57,72.6,54950,14.5,1.39,18710,69,530000,1052.1,38629,0.4,26.4,7.17,7.42,7.06,3.7
"2",383408,36.9,22.3,87,13,7902,32,75.4,45120,20.1,0.58,14400,74,265000,1452.2,140049,1,16.5,7.1,7.57,7.18,3.3
"3",274803,34.9,19.5,90.7,9.3,17549,93,71.3,45860,17.8,0.48,11875,71,405000,891.6,61515,0.6,19.5,7.24,7.5,7.19,3.18
"4",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"5",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"6",183354,35.6,17,89.9,10.1,10114,78,77.5,62910,16.4,1.16,13465,69,661000,971.3,43843,0.5,17.8,7.41,7.53,7.16,3.09
"7",272102,35.7,21,88.7,11.3,11132,62,74.2,44490,11.7,0.92,13035,74,319950,1420.7,94042,1,15.2,7.31,7.62,7.4,3.39
"8",297805,31.3,19.6,94.3,5.7,18882,90,70.4,45720,16.1,1.34,16545,69,383000,1948.3,43589,0.4,25.2,7.22,7.39,7.2,3.26
"9",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
"10",3494269,34.5,18.3,91,9,169187,69,72.3,56890,14.4,1.4,265230,69,465000,19229.8,725356,0.5,19.9,7.25,7.51,7.21,3.44
"11",54316618,39.6,18.8,32.2,17.7,749198,22,73.9,30763,16.8,0.83,2235345,74,198000,361360.1,25696833,1.1,16.2,7.45,7.7,7.33,3.03
"12",201751,38.7,20.7,84.8,15.2,1945,15,78.2,49170,18.9,0.61,8155,77,285000,774.4,91266,1.2,11.5,7.46,7.7,7.26,3.22
