"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",243303,38.9,20.8,89,11,2108,14,75.1,44430,15.9,0.54,8430,75,250000,1060.9,108507,1.2,15.4,7.38,7.7,7.21,3.29
"2",173853,37,19,87,13,3157,28,74.4,56920,17.1,0.73,8520,79,385000,752.4,70421,1.1,8.9,7.34,7.68,7.41,3.29
"3",205773,32.9,21,86.1,13.9,7727,62,65.8,34080,21.1,0.47,5690,73,215000,783.2,56966,0.8,22.5,7.14,7.6,7.05,3.05
"4",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"5",301022,35.7,23.1,87.9,12.1,10237,54,68.3,45380,22.9,0.48,13160,71,301500,963.5,106339,1.1,11.7,7.32,7.57,7.3,3.2
"6",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"7",183354,35.6,17,89.9,10.1,10114,78,77.5,62910,16.4,1.16,13465,69,661000,971.3,43843,0.5,17.8,7.41,7.53,7.16,3.09
"8",240595,36.2,8.8,82.8,17.2,10703,64,69.2,67990,12.4,2.25,29020,69,675000,1540.5,46601,0.5,19.1,7.14,7.38,7.11,3.61
"9",318253,34.9,17.3,90.6,9.4,10453,46,78.8,66220,21.4,0.59,17445,75,532500,1162.6,89513,0.7,14.3,7.37,7.63,7.37,3.59
"10",54316618,39.6,18.8,32.2,17.7,749198,22,73.9,30763,16.8,0.83,2235345,74,198000,361360.1,25696833,1.1,16.2,7.45,7.7,7.33,3.03
"11",325455,34.4,17.5,92.2,7.8,12764,54,78.5,48610,23.1,0.78,20900,68,420000,1257.3,66791,0.5,21.5,7.14,7.46,7.2,3.53
"12",274139,34.9,21.8,89.8,10.2,17257,95,73.1,39460,23,0.46,9875,71,320000,850.5,76217,0.8,18.1,7.19,7.5,7.12,3.14
