"","GLA Population Estimate 2016","Average Age 2016","Proportion of population aged 0-15 2016","Proportion of population of working-age 2016","Proportion of population aged 65 and over 2016","Overseas nationals entering the UK (NINo) (2014/15)","New migrant (NINo) rates (2014/15)","Employment rate (%) (2015)","Modelled Household median income estimates 2012/13","% of employment that is in public sector (2014)","Jobs Density 2014","Number of active businesses 2014","Two-year business survival rates (started in 2012)","Median House Price 2014","Total carbon emissions (2013)","Number of cars (2011 Census)","Number of cars per household (2011 Census)","% children living in out-of-work households (2014)","Life satisfaction score 2011-14 (out of 10)","Worthwhileness score 2011-14 (out of 10)","Happiness score 2011-14 (out of 10)","Anxiety score 2011-14 (out of 10)"
"1",173853,37,19,87,13,3157,28,74.4,56920,17.1,0.73,8520,79,385000,752.4,70421,1.1,8.9,7.34,7.68,7.41,3.29
"2",5256484,36.8,21.4,86.8,13.2,165223,49,73.3,48530,16.8,0.65,235595,73,318000,21929.8,1939058,1,14.7,7.32,7.61,7.27,3.19
"3",8750753,35.9,20.2,88.5,11.5,334419,57,72.9,51770,15.3,0.97,500825,71,365000,41159.7,2664414,0.8,16.6,7.3,7.57,7.24,3.29
"4",337378,31.9,21.9,93.1,6.9,26478,116,66.2,34260,23.1,0.49,9645,68,250000,1441.6,61092,0.6,17.6,7.12,7.43,7.18,3.37
"5",299817,34.9,20.6,90.7,9.3,8482,42,75.9,43360,24.8,0.44,9625,75,315000,930.3,76507,0.7,20.8,7.18,7.63,7.26,3.43
"6",330968,36.2,22.7,87.2,12.8,9593,46,73,41250,21.7,0.61,13015,74,285000,1397.5,119653,1,20.5,7.26,7.57,7.33,2.6
"7",207141,36.6,20.5,87.9,12.1,6730,49,78.8,57160,12.2,0.7,11225,72,385000,844.6,72777,0.9,11.8,7.28,7.54,7.13,3.56
"8",270912,32.9,20.4,92.7,7.3,9424,50,69,42690,18.1,0.7,16095,74,433000,877.8,41800,0.4,21.7,7.03,7.31,6.99,3.76
"9",250703,38.1,20.7,85,15,11239,71,73.9,49060,14.5,0.56,14000,75,370000,837.7,100326,1.2,10.5,7.33,7.42,7.31,2.71
"10",328568,35.5,20.1,82.5,17.5,25130,115,69.5,39630,17.6,0.61,14680,70,385000,1292.6,87802,0.8,16,7.25,7.35,7.22,2.92
"11",54316618,39.8,18.8,32.2,17.7,820603,20,73.9,39430,16.8,0.83,2235345,74,198000,445928.8,25696833,1.1,16.2,7.5,7.7,7.3,3
"12",318253,34.9,17.3,90.6,9.4,10453,46,78.8,66220,21.4,0.59,17445,75,532500,1162.6,89513,0.7,14.3,7.37,7.63,7.37,3.59
